,importance
amazon_ma_14d,0.44451997
amazon_ma_7d,0.25930607
price,0.14574032
log_mean_price,0.045882497
global_mean,0.044180255
list_price,0.022145875
global_min,0.010058372
roll14_mean,0.0034402814
new_price,0.003302194
global_max,0.0028949457
count_new,0.0028582274
roll30_mean,0.0026225913
price_vs_list,0.0020009424
price_lag1,0.0009334131
week_of_year,0.0006693663
roll14_min,0.00062608294
roll30_min,0.0005850197
roll30_max,0.00055176066
roll7_min,0.0005434123
amazon_pct_change_7d,0.0004571634
price_vs_global_mean,0.00043939898
price_vs_global_min,0.00043825698
keepa_minutes,0.00042198252
global_norm_sd,0.0004163949
sales_score,0.00039326333
price_vs_global_max,0.0003916689
pct_change_14d,0.00039146433
roll14_max,0.00038361305
roll7_max,0.0003241275
price_lag30,0.0003095766
price_vs_used,0.00029489404
price_vs_30d_mean,0.0002672877
price_vs_14d_mean,0.0002476954
price_vs_new,0.00024517445
month,0.00023754996
roll30_std,0.00023129719
roll14_std,0.00021673093
used_price,0.00020456023
amazon_delta_7d,0.00020099123
count_used,0.0001729499
price_vs_7d_mean,0.00012566675
roll7_std,0.00011177051
pct_change_1d,8.8976965e-05
is_weekend,7.016049e-05
day_of_week,5.5794513e-05
